id,name,price,description,image,active,category_id,label,created_at,updated_at,status,is_delete
21d5576a-d96c-419e-947f-0087325dddcb,Khóa Kỹ Thuật Viên Thẩm Mỹ Cao Cấp (Master),35000000,,https://storageaura.blob.core.windows.net/blobauragroupstorage/azure477_mun_3.jpg,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-27 15:50:20.47+07,2024-03-27 15:50:20.47+07,active,false
8365c0ff-5845-4792-baaf-608a47c980cc,Dưỡng sinh cổ vai gáy,70000,"Cổ và vai gáy không phải là lục phủ ngũ tạng nhưng lại là cơ quan chiếm vai trò quan trọng đối với sức khỏe. Dưỡng sinh cổ vai gáy giúp giải tỏa những tắc nghẽn nơi mạch máu, tăng lưu lượng máu lên não, giúp giảm đau đầu. Ngoài ra, phương pháp trị liệu này còn giúp hỗ trợ điều chỉnh hoạt động của các cơ quan nội tạng như gan, thận, hệ tiêu hóa thúc đẩy đào thải độc tố để cơ thể khỏe mạnh hơn.",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/h2cd4b1g5g75b7abfah2.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:24:15.761+07,2022-11-23 14:24:15.761+07,active,false
a0e2a011-1fc4-41aa-b7d8-51dbf7ef38aa,Ngâm chân thảo mộc,50000,"Ngâm chân thảo dược là một liệu pháp mang đến nhiều lợi ích bất ngờ, rất tốt cho sức khỏe của người cao tuổi, người ít vận động như dân văn phòng hay người bị mắc các bệnh viêm khớp, huyết áp cao.",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/88940b200c254fc3dah3.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:37:32.853+07,2022-11-23 14:37:32.853+07,active,false
c74ba1b6-cc70-49a9-9281-8f6621056413,Massage trị liệu vùng lưng,160000,"Lưng là một trong những nơi tập trung rất nhiều huyệt vị quan trọng như: đại thùy, mệnh môn, tỳ du, thận du… Ngoài ra, vùng lưng còn có rất nhiều dây thần kinh tủy sống. Chúng chi phối sự vận động của cơ thể, chức năng của hệ tim mạch và các nội tạng khác. Vì vậy, massage lưng sẽ kích thích các huyệt đạo và các tổ chức dưới da ở vùng này, giúp thúc đẩy tuần hoàn máu và gia tăng độ dẻo dai cho cơ thể. Trị liệu massage lưng sẽ mang lại sự hồi phục nhanh chóng cho vùng lưng của bạn, giúp xua tan mọi đau nhức, mệt mỏi.",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/1d212e23ehac6b85b061.JPG,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:39:42.321+07,2022-11-23 14:39:42.321+07,active,false
e280706b-3a7f-4cd1-9e20-683797414b4e,AURA Red Clay Cleanser,650000,,https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/cagf5g21eh7a2fhh0bb5.jpg,true,c953ee9f-f537-4e67-85ee-3413fd1e15ac,product,2022-11-23 13:51:14.666+07,2022-11-23 13:51:14.666+07,active,false
a390315a-b9d8-4437-8351-9965e4bc635f,AURA Red Clay Soft Mask,690000,,https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/g356fh806cb09g925c11.jpg,true,c953ee9f-f537-4e67-85ee-3413fd1e15ac,product,2022-11-23 13:43:38.731+07,2022-11-23 13:43:38.731+07,active,false
e5c5f8cd-5a42-4afd-af02-81660f9a83d9,Massage ấn huyệt trị liệu toàn thân đả thông kinh lạc hỏa liệu pháp,650000,"Massage bấm huyệt toàn thân là phương pháp dùng bàn tay, ngón tay để tác động trực tiếp lên da thịt, thần kinh, mạch máu và các cơ quan khác. Điều này nhằm tạo nên sự thay đổi tích cực ở hệ thần kinh, nội tiết và thể dịch. Nhờ đó giúp cải thiện khả năng hoạt động của hệ thần kinh giúp tăng cường sức đề kháng.Từ đó tạo nên những thay đổi về thần kinh, thể dịch, nội tiết.Hỏa trị liệu là phương pháp dựa trên nguyên lý điều hòa “nóng”, “lạnh” trong cơ thể của người Trung Quốc. Đây là phương pháp chăm sóc sức khỏe mới ở Việt Nam.Hỏa liệu chính là vẩy cồn, châm lửa, tăng nhiệt độ lên khăn ẩm. Mục đích của nó là mở lỗ chân lông, lưu thông khí huyết (kinh lạc). Sau đó bôi tinh dầu lên con rồng lửa, xuyên qua sự hô hấp của da chạy thẳng đến các vị trí của ổ bệnh ở trong cơ, xương, máu và có hiệu quả nhanh chóng đối với các bệnh phong, hàn, thấp, nhiệt, độc đến đau nhức, tê, phù, trướng. Mục đích đạt đến là có bệnh trị bệnh, không có bệnh thì tăng cường sức khỏe.",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/67a80552374hgf57b7d4.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:40:13.268+07,2022-11-23 14:40:13.268+07,active,false
9d84ec40-4437-48d1-95b0-10ac84e71a23,Massage trị liệu kết hợp ấn huyệt bẻ khớp kiểu Thái,450000,"Massage kiểu Thái là phương pháp kết hợp giữa xoa bóp bấm huyệt và tư thế yoga của Ấn Độ.Massage kiểu Thái chú trọng vào việc thư giãn các cơ khớp, lưng, eo. Khác với  các cách mát xa của các nước của Trung Quốc, Nhật Bản, Việt Nam thường tập trung vào hệ thống kinh mạch, huyệt đạo trên cơ thể.Massage Thái chủ yếu sử dụng các kỹ thuật đẩy ấn – xoa – vuốt – kéo – bóp – nắn với sự uyển chuyển, mềm mại trong thao tác. Sử dụng tốc độ vừa phải của các kỹ thuật viên chuyên nghiệp để mát xa bắt đầu từ chân đến vùng đầu, giúp cho người được mát tã thư giãn hơn, đồng thời tăng cường sự dẻo dai cho các cơ khớp.

",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/b26eeb89g04a33db51fb.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:40:49.789+07,2022-11-23 14:40:49.789+07,active,false
397f6306-13f6-438e-b13f-23cfe84a6a50,Spicules bọt biển tái tạo da TRỊ SẸO,5000000,Spicules bọt biển tái tạo da TRỊ SẸO,https://ucarecdn.com/961f5911-057f-4086-abb4-7bce9dd635e2/-/preview/-/format/webp/-/quality/smart/-/progressive/yes/,true,30db35e5-00de-4760-9011-565f7e46838e,service,2023-08-11 10:16:17.402067+07,2023-08-11 10:16:17.402067+07,active,false
b58f4dc2-4b92-4574-861d-5f6e08aa31bf,Khóa Hoạt Chất Mỹ Phẩm,10000000,,https://storageaura.blob.core.windows.net/blobauragroupstorage/azure709_Mun_1.jpg,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-27 15:51:06.101+07,2024-03-27 15:51:06.101+07,active,false
77528037-fe60-49d8-8baa-378f3a0704fa,Xông nến tai,40000,"Nến xông tai lúc đốt lên sẽ tạo một khoảng chân không bên trong đũa, những chất bẩn trong lỗ tai như rái tai, hôi ẩm sẽ bị hút ra.  Sức nóng nhẹ của nến sẽ từ từ toả vào trong ống tai và tới mọi hốc sau trong xoang đầu làm tăng tuần hoàn máu, thư giãn tinh thần, khử độc, cải thiện bệnh nhạy cảm của mũi, chống trầm lắng của các sắc tố và bệnh đau nửa đầu.  Phối hợp với các mùi tinh dầu làm da kịp thời bổ sung dưỡng chất và oxy, cải thiện tuần hoàn máu cho da mặt hồng hào ",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/a8h8eceeahc508bg53ac.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:34:03.487+07,2022-11-23 14:34:03.487+07,active,false
ef068555-67fe-45ad-994a-17912e09f18d,Rót nước tai vệ sinh và massage tai,50000,"Rót nước vào tai để vệ sinh làm sạch tai, kết hợp xoa bóp nhẹ nhàng bằng tay. Đồng thời, dùng chổi nhỏ cọ vào tao cùng những âm thanh như tiếng nước sục, tiếng đàn, tiếng gõ chuông, làn khói mờ ảo giúp bầu không khí trở nên thư giãn",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/d34h8ed2a8gag271bbbe.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:27:25.246+07,2022-11-23 14:27:25.246+07,active,false
5407b209-b8ae-447d-9dce-d218b1523ac5,ĐÀO TẠO - KHÓA KỸ THUẬT VIÊN SƠ CẤP SPA,15000000,,https://storageaura.blob.core.windows.net/blobauragroupstorage/azure841_duong_1.jpg,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-13 14:19:29.802+07,2024-03-13 14:19:29.802+07,active,true
8613b756-5172-47b4-8ea9-61323ae81a13,Khóa Combo Master I,50000000,,https://storageaura.blob.core.windows.net/blobauragroupstorage/azure184_mun_3.jpg,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-27 15:51:23.566+07,2024-03-27 15:51:23.566+07,active,false
d90004d7-251e-4b16-8e77-645abefc794b,Khóa Y Tá Thẩm Mỹ,25000000,,https://storageaura.blob.core.windows.net/blobauragroupstorage/azure367_mun_2.jpg,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-27 15:52:01.378+07,2024-03-27 15:52:01.378+07,active,false
